team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost,class
UTA,2000,N,2960,6289,1714,2280,943,2383,3326,2111,2108,661,1250,463,325,852,7959,2667,6076,1830,2391,874,2183,3057,1564,2008,699,1269,453,410,1194,7574,91.395737,53,29,1
VAN,2000,N,2870,6539,1457,1892,894,2431,3325,1899,1733,586,1237,359,325,947,7522,3143,6791,1317,1798,1052,2534,3586,1935,1768,710,1190,476,389,1075,7992,93.28357700000001,23,59,0
WAS,2000,N,2833,6453,1704,2245,1016,2370,3386,1647,1913,630,1321,383,275,848,7645,3100,6596,1559,2088,931,2410,3341,1902,1972,688,1181,511,433,1093,8192,93.742424,19,63,0
ATL,2001,N,2901,6610,1486,1942,955,2445,3400,1656,1702,667,1203,350,423,1194,7711,3065,6674,1456,1956,1004,2523,3525,1856,1647,703,1177,508,472,1329,8058,93.19606800000001,33,49,0
BOS,2001,N,2852,6731,1498,1960,891,2570,3461,1722,1775,793,1082,293,699,1946,7901,2797,6578,1612,2091,954,2807,3760,1802,1733,623,1284,474,514,1511,7720,94.358406,49,33,1
CHA,2001,N,2893,6580,1568,2105,1059,2505,3564,1759,1747,653,1108,456,346,994,7700,2850,6594,1488,1938,963,2399,3362,1639,1702,625,1074,426,433,1156,7621,91.339409,44,38,1
CHI,2001,N,2811,6491,1413,1958,924,2359,3283,1817,1834,633,1169,361,300,868,7335,3027,6514,1560,2090,944,2553,3497,2066,1716,681,1122,399,421,1176,8035,91.920822,21,61,0
CLE,2001,N,2948,6582,1529,1980,968,2483,3451,1891,1752,572,1129,470,387,1026,7812,3053,6678,1506,2014,928,2382,3310,1989,1638,602,1018,459,473,1200,8085,92.278862,29,53,0
DAL,2001,N,3200,6930,1608,1994,918,2568,3486,1811,1841,581,958,386,621,1645,8629,3094,6851,1640,2184,1065,2600,3665,1865,1784,589,1121,377,452,1293,8280,94.980194,57,25,1
DEN,2001,N,2915,6870,1306,1756,1117,2310,3427,1817,1871,613,1130,462,423,1285,7559,3005,6540,1602,2144,995,2529,3524,1968,1645,671,1122,561,424,1173,8036,92.264595,27,55,0
